Loc,Cmp,To ship,Customer,order,qty,shipdate,comments,,# of cases,,Entered on sheet,To Finishing,To Shipping
m6,TRUE,4,camp,681249 y,288,3/9,caps,,2,,2/27     9:03AM,3/1     7:01AM,3/2     11:48AM
m4,TRUE,-3,corp,s51969 n,128,3/2,caps,,1,,2/20     2:27PM,3/1     6:03AM,3/6     6:20AM
m1,TRUE,-3,corp,s51965 n,8,3/2,-,,1,,2/21     6:38AM,3/2     7:20AM,3/6     6:21AM
m6,TRUE,2,corp,s51967 n,360,3/8,caps,,1,,2/23     5:57AM,2/27     10:14AM,3/6     7:37AM
m5,TRUE,-3,corp,s51968 n,5,3/2,bag,,1,,2/22     6:36AM,3/2     7:19AM,3/6     7:37AM
m5,TRUE,0,corp,s51981 n,4,3/6,sooner,,1,,2/22     6:37AM,3/2     7:18AM,3/6     7:37AM
m5,TRUE,-3,corp,s51907 n,16,3/6,-,,2,,2/28     5:57AM,3/2     7:17AM,3/7     8:29AM
m0,TRUE,-3,corp,s51985 n,40,3/7,caps,,1,,2/27     6:09AM,3/2     1:11PM,3/7     11:25AM
m6,TRUE,-3,corp,s52006 n,175,3/7,caps firm,,2,,3/1     5:38AM,3/8     6:11AM,3/7     11:25AM
m4,TRUE,-3,corp,s51980 n,33,3/7,caps,,2,,3/1     1:05AM,3/7     8:27AM,3/8     5:50AM
m5,TRUE,1,summit,s51979 y,58,3/9,full chest,,1,,2/28     5:59AM,3/7     8:01AM,3/8     5:50AM
m4,TRUE,1,corp,s51975 n,400,3/9,caps,,2,,2/28     5:58AM,3/6     7:38AM,3/8     5:50AM
m4,TRUE,-3,corp,s51984 n,96,3/7,caps,,2,,2/27     6:09AM,3/8     6:49AM,3/8     11:06AM
m5,TRUE,1,corp,s51986 n,130,3/9,-,,2,,2/28     6:01AM,3/6     8:54PM,3/8     11:06AM
m5,TRUE,1,corp,s51850 n,4,3/9,-,,2,,3/1     5:45AM,3/6     8:54PM,3/8     11:06AM
m5,TRUE,5,corp,s52025 y,24,3/16,-,,2,,3/7     7:41AM,3/7     11:45AM,3/8     11:06AM
m4,TRUE,0,corp,s52038 n,31,3/9,firm rush,,1,,3/8     6:31AM,3/9     5:24AM,3/8     3:42PM
m6,TRUE,0,camp,697900 y,576,3/9,caps,,4,,2/27     10:05AM,3/9     7:42AM,3/9     9:33AM
m2,TRUE,0,camp,700714 y,48,3/11,caps,,1,,3/1     1:05AM,3/9     9:33AM,3/9     9:33AM
m2,TRUE,0,camp,687896 y,60,3/11,caps,,4,,3/1     1:05AM,3/9     9:33AM,3/9     9:33AM
m5,TRUE,1,corp,s52055 n,57,3/13,firm by 1pm,,4,,3/9     6:08AM,3/9     11:41AM,3/9     1:39PM
m4,TRUE,-3,corp,s51982 n,95,3/9,caps,,2,,3/2     7:25AM,3/9     7:25AM,3/13     4:54AM
m5,TRUE,3,corp,s52034 y,33,3/16,-,,1,,3/6     8:54PM,3/8     6:46AM,3/13     4:55AM
m4,TRUE,0,corp,s52009 n,36,3/13,caps,,2,,3/1     1:05AM,3/9     7:43AM,3/13     4:56AM
m5,TRUE,0,corp,s52008 n,27,3/13,-,,2,,3/1     5:36AM,3/7     11:45AM,3/13     4:56AM
m4,TRUE,0,corp,s51987 n,20,3/13,caps,,2,,2/28     6:00AM,3/1     6:02AM,3/13     4:56AM
m3,TRUE,2,camp,680381 y,1148,3/16,-,,1,,3/1     1:05AM,3/14     10:23AM,3/14     10:23AM
m6,TRUE,-8,camp,692747 y,72,3/2,caps,,3,,3/1     1:05AM,3/14     1:53PM,3/14     1:53PM
m6,TRUE,3,corp,s52002 n,26,3/20,caps,,1,,3/9     6:08AM,3/13     10:51AM,3/14     2:35PM
m6,TRUE,-3,corp,s51994 n,9,3/13,on hold,,1,,3/6     7:02AM,3/14     10:25AM,3/14     2:36PM
m6,TRUE,2,corp,s52023 n,104,3/20,caps 2 loc,,1,,3/9     6:07AM,3/14     10:26AM,3/15     1:02PM
m5,TRUE,-3,corp,s52024 n,110,3/14,beanie,,2,,3/1     5:45AM,3/14     10:23AM,3/15     1:03PM
m4,TRUE,-8,camp,701114 y,144,3/8,caps,,1,,3/1     1:05AM,3/16     2:02PM,3/16     2:02PM
m5,TRUE,2,corp,s52001 n,50,3/22,-,,1,,3/13     7:14AM,3/14     10:25AM,3/20     4:48AM
m6,TRUE,-9,camp,699443 y,97,3/7,caps,,1,,3/1     1:05AM,3/20     5:28AM,3/20     5:28AM
m5,TRUE,4,corp,s52146 n,7,3/27,-,,1,,3/13     3:13PM,3/14     10:25AM,3/20     7:42AM
m0,TRUE,1,corp,s52100 n,1,3/21,-,,1,,3/14     1:29PM,3/14     2:36PM,3/20     3:57PM
m6,TRUE,1,corp,s52153 n,150,3/21,cap rush,,1,,3/14     1:22PM,3/16     1:10AM,3/20     3:57PM
m0,TRUE,4,corp,s52157 n,2,3/27,-,,1,,3/14     1:28PM,3/14     2:59PM,3/20     3:57PM
m5,TRUE,-3,corp,s52173 n,1,3/21,rush,,2,,3/20     5:04AM,3/21     6:42AM,3/22     6:18AM
